측정소명,년,월,일,시,SO2,PM10,O3,NO2,CO
수창동,2007,1,1,1,0.01,30,0.005,0.058,3.9
지산동,2007,1,1,1,0.01,64,0.002,0.037,1
서호동,2007,1,1,1,0.018,35,0.008,0.022,1.8
이현동,2007,1,1,1,0.002,62,0.001,0.044,0.6
대명동,2007,1,1,1,0.011,45,0.005,0.055,2.3
노원동,2007,1,1,1,0.006,73,0.003,0.041,2.2
신암동,2007,1,1,1,0.01,52,0.001,0.039,1.1
태전동,2007,1,1,1,0.006,43,0.003,0.04,1.6
만촌동,2007,1,1,1,0.013,64,0.002,0.05,0.7
호림동,2007,1,1,1,0.004,39,0.003,0.03,0.8
현풍면,2007,1,1,1,0.005,31,0.002,0.033,0.8
수창동,2007,1,1,2,0.009,20,0.005,0.055,3.7
지산동,2007,1,1,2,0.009,65,0.002,0.035,1
서호동,2007,1,1,2,0.016,57,0.009,0.021,1.7
이현동,2007,1,1,2,0.002,62,0.001,0.048,0.8
대명동,2007,1,1,2,0.009,59,0.005,0.05,1.9
노원동,2007,1,1,2,0.006,68,0.003,0.041,2.3
신암동,2007,1,1,2,0.011,73,0.001,0.038,1.2
태전동,2007,1,1,2,0.006,44,0.003,0.041,1.6
만촌동,2007,1,1,2,0.012,64,0.001,0.046,0.8
호림동,2007,1,1,2,0.004,35,0.003,0.031,0.8
현풍면,2007,1,1,2,0.006,25,0.002,0.035,0.8
수창동,2007,1,1,3,0.009,26,0.006,0.053,3.2
지산동,2007,1,1,3,0.008,63,0.002,0.034,1
서호동,2007,1,1,3,0.015,46,0.008,0.021,1.7
이현동,2007,1,1,3,0.001,62,0.001,0.049,1
대명동,2007,1,1,3,0.008,45,0.004,0.047,1.8
노원동,2007,1,1,3,0.006,59,0.004,0.04,2.4
신암동,2007,1,1,3,0.012,67,0.001,0.038,1.3
태전동,2007,1,1,3,0.007,40,0.003,0.043,1.6
만촌동,2007,1,1,3,0.013,63,0.001,0.043,0.6
호림동,2007,1,1,3,0.005,42,0.003,0.03,0.9
현풍면,2007,1,1,3,0.008,29,0.001,0.035,0.9
수창동,2007,1,1,4,0.006,20,0.005,0.05,2.8
지산동,2007,1,1,4,0.009,58,0.002,0.03,1.1
서호동,2007,1,1,4,0.015,59,0.007,0.022,2
이현동,2007,1,1,4,0.001,62,0.001,0.042,0.8
대명동,2007,1,1,4,0.013,60,0.004,0.038,1.4
노원동,2007,1,1,4,0.005,47,0.003,0.039,2.3
신암동,2007,1,1,4,0.013,64,0.001,0.039,1.2
태전동,2007,1,1,4,0.006,44,0.003,0.037,1.5
만촌동,2007,1,1,4,0.015,66,0.001,0.047,1.2
호림동,2007,1,1,4,0.006,51,0.003,0.031,0.9
현풍면,2007,1,1,4,0.005,33,0.002,0.03,1
수창동,2007,1,1,5,0.01,18,0.005,0.049,3.1
지산동,2007,1,1,5,0.011,53,0.002,0.035,1.3
서호동,2007,1,1,5,0.02,35,0.008,0.023,2.3
이현동,2007,1,1,5,0.002,62,0.001,0.043,0.8
대명동,2007,1,1,5,0.015,34,0.005,0.04,1.6
노원동,2007,1,1,5,0.005,38,0.003,0.038,2.2
신암동,2007,1,1,5,0.015,53,0.001,0.04,1.4
태전동,2007,1,1,5,0.007,31,0.003,0.036,1.4
만촌동,2007,1,1,5,0.016,60,0.001,0.048,1.3
호림동,2007,1,1,5,0.006,50,0.003,0.033,0.9
현풍면,2007,1,1,5,0.009,38,0.002,0.035,1
수창동,2007,1,1,6,0.009,15,0.004,0.047,2.7
지산동,2007,1,1,6,0.013,67,0.002,0.034,1.4
서호동,2007,1,1,6,0.016,21,0.008,0.02,1.9
이현동,2007,1,1,6,0.002,62,0.001,0.041,0.7
대명동,2007,1,1,6,0.016,53,0.005,0.037,1.3
노원동,2007,1,1,6,0.007,40,0.004,0.038,2
신암동,2007,1,1,6,0.014,53,0.001,0.039,1.3
태전동,2007,1,1,6,0.007,30,0.003,0.036,1.3
만촌동,2007,1,1,6,0.015,63,0.001,0.046,0.9
호림동,2007,1,1,6,0.006,34,0.003,0.032,0.9
현풍면,2007,1,1,6,0.008,27,0.001,0.032,1
수창동,2007,1,1,7,0.011,10,0.004,0.045,2.3
지산동,2007,1,1,7,0.013,61,0.002,0.033,1.3
서호동,2007,1,1,7,0.017,37,0.008,0.023,2
이현동,2007,1,1,7,0.001,62,0.001,0.04,0.8
대명동,2007,1,1,7,0.01,33,0.004,0.039,1.3
노원동,2007,1,1,7,0.007,42,0.004,0.038,1.9
신암동,2007,1,1,7,0.013,49,0.001,0.041,1.3
태전동,2007,1,1,7,0.007,31,0.003,0.037,1.3
만촌동,2007,1,1,7,0.018,69,0.001,0.05,1
호림동,2007,1,1,7,0.008,40,0.003,0.03,0.8
현풍면,2007,1,1,7,0.007,40,0.001,0.032,1.1
수창동,2007,1,1,8,0.011,8,0.005,0.047,2.4
지산동,2007,1,1,8,0.013,62,0.002,0.032,1.3
서호동,2007,1,1,8,0.017,29,0.008,0.02,1.8
이현동,2007,1,1,8,0.002,62,0.001,0.042,0.8
대명동,2007,1,1,8,0.011,33,0.004,0.045,1.6
노원동,2007,1,1,8,0.006,31,0.004,0.038,2.1
신암동,2007,1,1,8,0.016,46,0.001,0.044,1.5
태전동,2007,1,1,8,0.008,33,0.003,0.038,1.4
만촌동,2007,1,1,8,0.016,54,0.001,0.048,0.9
호림동,2007,1,1,8,0.006,49,0.003,0.03,0.9
현풍면,2007,1,1,8,0.01,32,0.001,0.035,1.1
수창동,2007,1,1,9,0.01,8,0.004,0.047,2.1
지산동,2007,1,1,9,0.014,68,0.002,0.033,1.2
서호동,2007,1,1,9,0.016,52,0.008,0.019,1.6
이현동,2007,1,1,9,0.002,62,0.002,0.042,0.9
대명동,2007,1,1,9,0.009,48,0.004,0.039,1.5
노원동,2007,1,1,9,0.007,59,0.004,0.038,2
신암동,2007,1,1,9,0.012,43,0.001,0.035,1.2
태전동,2007,1,1,9,0.009,37,0.003,0.037,1.4
만촌동,2007,1,1,9,0.014,69,0.002,0.041,0.5
호림동,2007,1,1,9,0.006,48,0.004,0.029,0.9
현풍면,2007,1,1,9,0.01,28,0.003,0.032,1.1
수창동,2007,1,1,10,0.01,8,0.005,0.043,1.8
지산동,2007,1,1,10,0.015,59,0.002,0.035,1.2
서호동,2007,1,1,10,0.019,42,0.008,0.025,1.9
이현동,2007,1,1,10,0.002,62,0.003,0.038,0.7
대명동,2007,1,1,10,0.009,29,0.005,0.038,1.2
노원동,2007,1,1,10,0.009,59,0.005,0.037,1.5
신암동,2007,1,1,10,0.014,59,0.002,0.041,1.4
태전동,2007,1,1,10,0.011,40,0.004,0.041,1.4
만촌동,2007,1,1,10,0.019,73,0.002,0.051,0.7
호림동,2007,1,1,10,0.009,51,0.005,0.028,0.8
현풍면,2007,1,1,10,0.011,37,0.005,0.032,1.3
수창동,2007,1,1,11,0.008,13,0.006,0.041,1.5
지산동,2007,1,1,11,0.017,69,0.002,0.033,0.8
서호동,2007,1,1,11,0.023,63,0.008,0.031,2
이현동,2007,1,1,11,0.001,62,0.006,0.037,0.6
대명동,2007,1,1,11,0.011,27,0.007,0.038,1.2
노원동,2007,1,1,11,0.01,44,0.007,0.037,1.5
신암동,2007,1,1,11,0.017,59,0.004,0.047,1.3
태전동,2007,1,1,11,0.011,47,0.005,0.038,1.1
만촌동,2007,1,1,11,0.02,51,0.003,0.046,0.4
호림동,2007,1,1,11,0.009,69,0.007,0.031,0.8
현풍면,2007,1,1,11,0.012,47,0.008,0.031,1
수창동,2007,1,1,12,0.005,34,0.007,0.04,1.9
지산동,2007,1,1,12,0.015,68,0.005,0.033,0.8
서호동,2007,1,1,12,0.02,62,0.011,0.025,1.3
이현동,2007,1,1,12,0.002,62,0.009,0.037,0.6
대명동,2007,1,1,12,0.011,49,0.008,0.035,1.1
노원동,2007,1,1,12,0.009,39,0.008,0.037,1.5
신암동,2007,1,1,12,0.015,55,0.008,0.038,0.8
태전동,2007,1,1,12,0.01,41,0.009,0.032,0.9
만촌동,2007,1,1,12,0.018,50,0.006,0.04,0.2
호림동,2007,1,1,12,0.008,92,0.011,0.03,0.8
현풍면,2007,1,1,12,0.011,33,0.013,0.026,0.8
수창동,2007,1,1,13,0.004,89,0.01,0.039,2.3
지산동,2007,1,1,13,0.013,66,0.009,0.029,0.6
서호동,2007,1,1,13,0.021,63,0.013,0.023,1.2
이현동,2007,1,1,13,0.002,62,0.011,0.041,0.6
대명동,2007,1,1,13,0.007,29,0.012,0.033,1
노원동,2007,1,1,13,0.01,32,0.009,0.038,1.7
신암동,2007,1,1,13,0.014,66,0.01,0.04,0.8
태전동,2007,1,1,13,0.01,34,0.011,0.03,0.8
만촌동,2007,1,1,13,0.016,48,0.011,0.037,0.2
호림동,2007,1,1,13,0.007,90,0.012,0.031,0.8
현풍면,2007,1,1,13,0.009,20,0.018,0.022,0.6
수창동,2007,1,1,14,0.003,137,0.011,0.039,2.4
지산동,2007,1,1,14,0.011,61,0.015,0.026,0.6
서호동,2007,1,1,14,0.023,32,0.018,0.018,0.9
이현동,2007,1,1,14,0.002,62,0.012,0.038,0.5
대명동,2007,1,1,14,0.008,30,0.011,0.038,1.1
노원동,2007,1,1,14,0.011,20,0.008,0.039,1.7
신암동,2007,1,1,14,0.014,42,0.011,0.037,0.8
태전동,2007,1,1,14,0.009,40,0.01,0.034,0.8
만촌동,2007,1,1,14,0.017,39,0.014,0.036,0.3
호림동,2007,1,1,14,0.011,62,0.013,0.034,0.8
현풍면,2007,1,1,14,0.009,22,0.02,0.022,0.7
수창동,2007,1,1,15,0.004,173,0.01,0.045,2.7
지산동,2007,1,1,15,0.01,46,0.02,0.022,0.5
서호동,2007,1,1,15,0.025,24,0.013,0.025,1.2
이현동,2007,1,1,15,0.002,62,0.011,0.037,0.5
대명동,2007,1,1,15,0.008,32,0.009,0.041,1.1
노원동,2007,1,1,15,0.01,24,0.009,0.038,1.5
신암동,2007,1,1,15,0.013,42,0.01,0.039,0.7
태전동,2007,1,1,15,0.009,39,0.012,0.028,0.7
만촌동,2007,1,1,15,0.017,44,0.009,0.043,0.3
호림동,2007,1,1,15,0.005,39,0.016,0.029,0.8
현풍면,2007,1,1,15,0.009,29,0.021,0.023,0.7
수창동,2007,1,1,16,0.003,160,0.008,0.045,2.6
지산동,2007,1,1,16,0.012,37,0.005,0.035,0.6
서호동,2007,1,1,16,0.023,29,0.012,0.024,1.1
이현동,2007,1,1,16,0.001,62,0.011,0.036,0.4
대명동,2007,1,1,16,0.008,30,0.009,0.038,0.9
노원동,2007,1,1,16,0.009,20,0.01,0.037,1.5
신암동,2007,1,1,16,0.015,31,0.007,0.043,0.8
태전동,2007,1,1,16,0.009,40,0.013,0.026,0.7
